id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,target1,target2,target3
1,B,B,B,C,B,B,A,E,C,N,0.2014695545872097,-0.0148218457189676,0.6696987928273178,0.1362783628231121,0.6107059688489804,0.400361335034366,0.1602656606063883,0.3109214715212386,0.3894697028785718,0.2675586974936821,0.2372806397083238,0.3778726966529537,0.3224009678184022,0.8698501087465733,8.113633879659153,7.113633879659153,9.763633879659153
2,B,B,A,A,B,D,A,F,A,O,0.7430680067195221,0.3674106567778412,1.0216053769583606,0.3657984687310849,0.2768526208247358,0.5330865059618201,0.5589217543444378,0.5162936922507696,0.5949281337360852,0.341439424508528,0.9060134179783672,0.9217009201766488,0.2619752872959446,0.465082870912738,8.481232790694882,7.481232790694882,10.131232790694883
3,A,A,A,C,B,D,A,D,A,F,0.7427082872569866,0.3103834352265466,-0.0126728412603827,0.5769572988863132,0.2850738214235778,0.6506092529839795,0.375348379159325,0.9025673702374444,0.555204675889432,0.8435305613249466,0.7488088867426759,0.6201258905023955,0.5414735060540387,0.7638458315431937,8.364350599902433,7.3643505999024335,10.014350599902434
4,B,B,A,C,B,D,A,E,C,K,0.4295507741598181,0.6209977492953859,0.5779416457466471,0.2806102207178406,0.2846668348899803,0.6689795142770898,0.2390612061629885,0.7329484214770149,0.6796180054584104,0.5748439027361045,0.3460102223500694,0.7146104407086104,0.5401495890274749,0.2806819156222785,8.049253401382394,7.049253401382394,9.699253401382395
6,A,A,A,C,B,D,A,E,A,N,1.0582910572135842,0.3674924450957861,-0.0523886198242577,0.2324071043203325,0.287594967984976,0.6869641686895456,0.4206673854428089,0.6481823292758594,0.6845011685240272,0.9566923871521644,1.0007730781904414,0.7767418735213948,0.6258486649081045,0.2508233899851028,7.972259905916037,6.972259905916037,9.622259905916037
7,A,B,A,C,B,D,A,E,G,F,0.4020556475232359,0.837057996265893,0.7379910937071932,0.7784286020448686,0.5302497975116797,0.392432089928919,0.6581688304873043,0.99747269944131,0.5698739592809576,0.960863741380102,0.2380498178624085,0.3160645375146479,0.7317294381167658,0.6947190846664975,8.028558159346737,7.028558159346737,9.678558159346737
8,B,A,A,A,B,D,A,E,C,F,0.7436605345732481,0.2347939916206941,0.3390262389943639,0.4240344843185302,0.2815106318455592,0.3967051146475044,0.273454332776376,0.8245729042390236,0.6563247794318735,0.677114026238071,0.8084450101199446,0.6159733414655826,0.6316768001234805,0.2835607652399403,7.811465438627006,6.811465438627006,9.461465438627005
9,A,A,A,C,B,B,A,E,A,M,0.8879592465720629,0.4827993044582348,0.674588269362184,0.5848111199320423,0.7630805386574675,0.6333531237798022,0.3397604386690597,0.8020064283753302,1.0109966851815904,0.3912205387624814,0.0572969888066211,0.5911195371147515,0.0746291678392706,0.7758686655351406,7.674188486643988,6.674188486643988,9.324188486643989
10,A,B,A,C,B,D,A,E,G,I,0.5234715219272511,0.4920592618623959,0.1654395283123952,0.7499950096444292,0.2811099273943998,0.4725637959542143,0.4140362236652166,0.8091421476792602,1.0133014753393013,0.761182513412886,1.0417110376093837,0.3939597461111951,0.7823807609579774,0.8656103998472533,8.090094918895725,7.0900949188957245,9.740094918895725
11,A,A,A,A,B,B,A,E,E,M,0.5030126687634118,0.5511629064316371,0.622871468232697,0.4715595739741376,0.2871088964458234,0.4257159774235322,0.2337051640900274,0.4930357118716254,0.3530480741493546,0.3346747856593038,0.0850872079070465,0.2306339737101371,0.6367318922661139,0.2918735545746235,8.446155409961989,7.446155409961989,10.09615540996199
12,B,A,A,C,B,D,A,E,A,I,0.7972756318742664,0.4291311657534624,0.285102860977708,0.4884051752437692,0.2872867097844958,0.6507964054419406,0.7065308551802729,0.7811681473673053,0.8280916527205641,0.8173231541144471,0.4958895623614238,0.7133618566182675,0.7434036443698782,0.4370567633058785,8.078225561220382,7.078225561220382,9.728225561220382
13,A,B,A,C,B,B,A,E,A,N,0.4435684882292141,0.5561919655713146,0.6914114719766062,0.3560313308184136,1.0278487603714448,0.4330969293178571,1.011564686277647,0.2892004179257133,0.0434524838076747,0.3626247450719545,0.3684696473248501,0.3944479209030927,0.3386687931728948,0.2515450291726635,9.284912169138869,8.284912169138869,10.934912169138869
