id,release,n_0047,n_0050,n_0052,n_0061,n_0067,n_0075,n_0078,n_0091,n_0108,n_0109,o_0176,o_0264,c_0466,c_0500,c_0638,c_0699,c_0738,c_0761,c_0770,c_0838,c_0870,c_0980,c_1145,c_1158,c_1189,c_1223,c_1227,c_1244,c_1259,service_a,service_b
11193,a,1,1,1,1,0.9285714285714286,1,0.8,1,0.8,0.1875,303,7,a,a,d,b,a,c,c,a,b,c,b,g,b,c,a,d,n,1,1
11382,a,1,1,1,1,0.9285714285714286,1,0.6666666666666666,1,0.6666666666666666,0.1875,293,7,a,h,d,b,a,b,b,a,b,c,b,g,b,a,a,d,e,0,0
16531,a,1,1,1,1,0.4285714285714285,1,0.8333333333333334,1,0.8333333333333334,0.1875,131,0,c,a,d,b,a,b,b,a,b,c,b,j,b,c,a,d,w,0,0
1896,a,1,1,1,1,0.5714285714285714,1,0.5666666666666667,1,0.5666666666666667,0.1875,113,4,c,h,d,b,a,a,a,b,b,c,b,e,b,c,a,d,e,0,0
18262,c,1,1,1,1,0.9285714285714286,1,0.6,1,0.6,0.25,240,6,b,b,d,b,a,b,b,a,a,c,c,b,b,c,a,d,e,0,0
10540,b,1,1,1,1,0.7857142857142857,1,0.3333333333333333,1,0.3333333333333333,0.0,369,7,a,e,b,b,a,b,b,a,b,b,b,g,b,c,a,b,n,1,1
5244,c,1,1,1,1,0.0,1,0.4333333333333333,1,0.4333333333333333,0.0,11,2,b,i,d,b,a,b,b,a,a,b,c,k,b,c,a,d,e,0,0
1929,a,1,1,1,1,0.7857142857142857,1,0.6333333333333333,1,0.6333333333333333,0.0,338,8,b,a,d,c,a,a,a,a,b,c,b,h,b,c,a,d,n,1,1
11928,b,1,1,1,1,0.2142857142857142,1,0.1,1,0.1,0.0,95,2,a,f,b,c,a,b,d,a,a,c,c,k,a,c,b,b,m,0,0
6327,a,1,1,1,1,0.0714285714285714,1,0.4333333333333333,1,0.4333333333333333,0.0625,34,0,b,h,b,c,a,a,a,a,b,d,b,j,b,c,a,a,p,0,0
12437,b,1,1,1,1,0.9285714285714286,1,0.9333333333333332,1,0.9333333333333332,0.0,369,5,b,a,d,b,a,b,b,a,b,c,b,b,b,a,a,d,s,0,0
14898,b,1,1,1,1,0.9285714285714286,1,0.9,1,0.9,0.0625,369,7,b,h,d,b,a,b,b,a,b,a,b,g,b,a,a,d,n,1,1
9981,b,1,1,1,1,0.7142857142857143,1,0.9666666666666668,1,0.9666666666666668,0.0625,292,5,a,h,d,b,a,b,d,a,b,a,b,b,a,c,a,d,n,1,1
5059,c,1,1,1,1,1.0,1,0.9,1,0.9,0.125,369,7,a,b,d,b,a,b,b,a,b,c,b,g,b,a,a,d,u,0,0
8818,a,1,1,1,1,0.4285714285714285,1,0.9,1,0.9,0.0,149,6,a,i,d,b,a,b,b,a,b,b,b,b,b,c,a,d,k,0,0
9801,a,1,1,1,1,0.9285714285714286,1,0.6333333333333333,1,0.6333333333333333,0.125,322,4,a,h,d,b,a,b,b,a,b,d,b,e,b,c,b,d,j,0,0
17986,b,1,1,1,1,0.0714285714285714,1,0.9333333333333332,1,0.9333333333333332,0.125,66,4,b,h,b,b,a,b,d,b,b,a,b,k,a,c,a,b,e,0,0
17970,a,1,1,1,1,0.9285714285714286,1,0.1,1,0.1,0.0,300,4,a,b,b,c,b,b,b,a,b,b,b,e,b,c,b,b,n,1,0
645,a,1,1,1,1,0.3571428571428571,1,0.1666666666666666,1,0.1666666666666666,0.0,97,5,a,f,b,c,a,b,b,a,b,b,b,b,b,c,a,b,n,1,1
6496,c,1,1,1,1,1.0,1,0.2,1,0.2,0.0,369,5,a,b,b,c,b,b,b,a,b,c,b,b,b,c,b,b,n,1,1
10069,b,1,1,1,1,0.7857142857142857,1,0.3666666666666665,1,0.3666666666666665,0.0,369,7,b,a,b,c,a,b,b,a,b,a,b,a,b,c,b,b,n,0,1
1854,a,1,1,1,1,0.8571428571428571,1,0.1666666666666666,1,0.1666666666666666,0.0,333,4,a,a,b,c,a,b,d,a,a,c,a,e,a,c,a,a,b,1,0
7634,a,1,1,1,1,0.9285714285714286,1,0.9333333333333332,1,0.9333333333333332,0.125,315,8,a,b,d,b,a,b,b,a,a,c,c,d,b,a,a,d,w,0,0
11309,c,1,1,1,1,0.8571428571428571,1,0.5333333333333333,1,0.5333333333333333,0.1875,232,4,a,d,b,c,a,c,c,a,a,b,a,e,b,c,a,a,u,0,0
15456,b,1,1,1,1,0.9285714285714286,1,0.2666666666666666,1,0.2666666666666666,0.0625,369,4,b,b,d,c,a,b,b,a,a,c,a,e,b,a,a,d,i,1,0
10175,a,1,1,1,1,0.3571428571428571,1,0.7666666666666667,1,0.7666666666666667,0.0625,104,4,c,h,b,b,a,c,c,b,a,c,c,e,b,a,a,a,e,0,0
7195,a,1,1,1,1,0.7857142857142857,1,0.6666666666666666,1,0.6666666666666666,0.25,178,6,c,a,d,c,a,b,b,a,a,a,a,b,b,a,b,d,B,0,0
17352,a,1,1,1,1,0.3571428571428571,1,0.8333333333333334,1,0.8333333333333334,0.1875,69,4,b,h,d,b,a,b,d,a,b,a,b,j,a,c,a,d,e,0,0
6192,c,1,1,1,1,0.7857142857142857,1,0.5,1,0.5,0.125,220,10,a,a,d,c,a,b,b,a,a,c,a,b,b,c,a,d,B,1,1
12494,b,1,1,1,1,0.3571428571428571,1,0.5333333333333333,1,0.5333333333333333,0.125,122,4,c,h,e,b,a,a,a,b,a,b,c,i,b,c,a,f,b,1,1
10007,a,1,1,1,1,0.1428571428571428,1,0.3333333333333333,1,0.3333333333333333,0.125,35,4,a,b,d,b,a,b,b,b,a,a,c,e,b,c,a,d,p,0,0
11357,a,1,1,1,1,0.9285714285714286,1,0.4,1,0.4,0.0,369,6,b,a,d,b,a,b,d,a,b,c,b,b,a,a,a,d,q,1,1
7313,a,1,1,1,1,0.1428571428571428,1,0.2,1,0.2,0.0,73,5,b,f,b,c,a,a,a,a,b,a,b,f,b,c,b,b,n,1,1
5299,b,1,1,1,1,0.1428571428571428,1,0.1666666666666666,1,0.1666666666666666,0.0,43,1,a,h,b,b,a,c,c,b,a,b,c,i,b,c,a,b,m,0,0
1432,a,1,1,1,1,0.1428571428571428,1,0.8333333333333334,1,0.8333333333333334,0.125,26,0,c,a,d,b,a,b,b,b,b,c,b,j,b,c,a,d,b,0,0
13181,a,1,1,1,1,0.7142857142857143,1,0.1333333333333333,1,0.1333333333333333,0.0,258,5,b,a,b,c,b,b,d,a,b,a,b,c,a,c,b,b,a,1,1
14359,c,1,1,1,1,0.5714285714285714,1,0.3666666666666665,1,0.3666666666666665,0.0625,139,5,b,b,e,c,a,b,b,b,a,d,c,b,b,c,a,a,j,1,1
5266,a,1,1,1,1,0.9285714285714286,1,0.8,1,0.8,0.125,316,8,a,a,d,b,a,b,b,a,b,c,b,d,b,a,a,d,e,0,0
15055,c,1,1,1,1,0.5714285714285714,1,0.2666666666666666,1,0.2666666666666666,0.0,173,5,a,a,b,c,a,b,d,a,b,a,b,c,a,c,a,b,p,1,0
12308,c,1,1,1,1,0.1428571428571428,1,0.3666666666666665,1,0.3666666666666665,0.3125,23,0,c,c,b,b,a,c,c,b,a,c,c,j,b,c,a,b,e,0,0
4209,b,1,1,1,1,0.7857142857142857,1,0.9666666666666668,1,0.9666666666666668,0.0,363,6,a,a,b,b,a,c,c,a,b,c,b,b,b,c,a,b,h,0,0
7651,b,1,1,1,1,0.9285714285714286,1,0.0666666666666666,1,0.0666666666666666,0.0,276,2,a,b,b,c,a,b,b,a,a,c,a,k,b,c,b,b,n,1,0
8768,b,1,1,1,1,0.3571428571428571,1,0.3666666666666665,1,0.3666666666666665,0.0,189,6,c,a,b,b,b,b,b,a,b,c,b,b,b,a,a,b,n,1,0
10178,b,1,1,1,1,0.0714285714285714,1,0.2333333333333333,1,0.2333333333333333,0.0625,66,4,a,b,b,b,a,c,c,b,b,c,b,j,b,c,a,b,m,0,0
15389,c,1,1,1,1,0.6428571428571429,1,0.0666666666666666,1,0.0666666666666666,0.0,89,2,a,b,b,c,b,c,c,b,a,c,a,k,b,c,b,b,a,0,0
5022,a,1,1,1,1,0.3571428571428571,1,0.5333333333333333,1,0.5333333333333333,0.125,104,7,b,a,e,c,a,b,b,b,b,b,b,g,b,a,a,f,j,0,1
3143,c,1,1,1,1,0.3571428571428571,1,0.6333333333333333,1,0.6333333333333333,0.1875,71,4,a,a,b,b,a,c,c,b,a,c,c,e,b,c,a,b,e,0,0
8927,a,1,1,1,1,0.1428571428571428,1,0.5333333333333333,1,0.5333333333333333,0.125,37,0,a,h,b,c,a,b,d,b,a,a,c,j,a,c,a,a,n,1,1
7629,a,1,1,1,1,0.7142857142857143,1,0.5666666666666667,1,0.5666666666666667,0.0625,243,5,b,a,d,c,a,c,c,a,a,c,c,c,b,c,b,d,u,0,0
15606,a,1,1,1,1,0.2142857142857142,1,0.0666666666666666,1,0.0666666666666666,0.0,65,2,a,b,b,c,a,b,d,a,a,d,c,k,a,c,b,b,G,1,1
2410,b,1,1,1,1,0.5,1,0.5666666666666667,1,0.5666666666666667,0.125,190,5,a,a,b,b,a,b,d,b,b,a,b,b,a,c,a,a,b,1,1
4616,a,1,1,1,1,0.4285714285714285,1,0.5333333333333333,1,0.5333333333333333,0.3125,67,4,b,h,b,b,a,c,c,b,b,c,b,e,b,a,b,a,b,1,1
12867,b,1,1,1,1,0.9285714285714286,1,0.6333333333333333,1,0.6333333333333333,0.125,369,4,b,b,d,b,a,b,b,a,b,c,b,e,b,c,a,d,e,0,0
12404,a,1,1,1,1,0.2857142857142857,1,0.5333333333333333,1,0.5333333333333333,0.125,75,5,b,a,e,b,a,c,c,b,a,c,a,c,b,c,a,f,c,0,1
16467,b,1,1,1,1,0.3571428571428571,1,0.7333333333333333,1,0.7333333333333333,0.0625,149,4,a,a,e,b,a,b,b,a,a,b,c,e,b,c,b,f,p,1,1
11166,c,1,1,1,1,1.0,1,0.5666666666666667,1,0.5666666666666667,0.0625,369,7,a,a,d,c,a,b,b,b,b,a,b,h,b,c,a,d,b,0,0
4635,a,1,1,1,1,0.5714285714285714,1,0.4,1,0.4,0.0625,219,4,b,a,b,c,a,b,d,a,a,b,a,e,a,c,a,b,n,1,1
