id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,target
332539,A,B,A,C,B,B,A,E,E,N,0.3938761155217683,0.4877666616421603,0.2802980041022681,0.1431107430036577,0.9051757974295164,0.3962785651948209,0.7019095892974705,0.3999827872943515,0.4714772570522523,0.1200874089763496,0.3081822484278265,0.3155164065462159,0.2754274168319978,0.1848109315889925,8.215287993920992
20705,A,A,A,C,B,D,A,E,C,H,0.4028927145150369,0.5624062737738531,1.0137334749272902,0.4646703694586738,0.4407809419951238,0.6153891333397622,0.299316715424089,0.5010069556216097,0.3845209672970209,0.417067115963911,0.3871900327363898,0.2696932248385149,0.1770489869438063,0.4434745823577177,8.470568692849506
330640,A,A,A,C,B,D,A,E,C,F,0.7871559239186211,0.3504829523892466,-0.024143311395356,0.7746724837887913,0.7144695060376495,0.7228985135457842,0.8479801895825179,0.5810848644193757,0.3865783210173477,0.7534156577478472,0.9208499667601766,0.7691124524827642,0.8465729333538701,0.8438643096274141,7.555630839431467
401130,B,B,B,D,C,B,A,E,E,G,0.4654058612977752,0.4913601714035821,0.5030396209125706,0.6919600978508605,0.7467585124882656,0.2443987248933968,0.5540296267915932,0.4024768545627144,0.3311869914091063,0.2620232361818346,0.1314651418248451,0.3995893041682769,0.2725493636643637,0.2736988964834514,7.057119973282498
320157,B,B,A,A,B,B,A,E,E,G,0.5593233139527659,0.4940322939198188,0.4420255852086361,0.5938129747470553,1.0437077500820255,0.3066940092446606,0.4079421997731821,0.3810921080475159,0.3972301133126913,0.3980044433782809,0.1405170571524602,0.6117997891800733,0.1982560049821037,0.3028350031607461,7.932147499217901
238923,A,A,B,C,B,D,A,E,C,B,0.0954583062317433,0.1968869008462916,0.5029130701073361,0.2427643178029131,0.2823275613961872,0.6540512601210359,0.6083948891021883,0.482932903692043,0.6604548394086709,0.3152359052762151,1.0186992749752797,0.349608837705381,0.8110682035184917,0.1669877459937469,7.366531590488279
162712,A,B,A,C,B,B,A,E,E,G,0.4173909875784635,0.5519234133062052,0.2900088901538529,0.3504816314813354,0.2778617291055978,0.555703787169239,0.4394415520246556,0.4159207158371417,0.5792246688357606,0.1262309486378326,0.0792477090934032,0.5464471485465718,0.6884805743895155,0.4517181379178095,9.104087983942854
352813,A,B,A,C,B,D,A,E,C,K,0.4580877511512746,0.5615097353362853,0.0883843664356457,0.1733138678447894,0.2806032246098535,0.7487251915810265,0.5915267383604164,0.8601549106352689,0.5337778365495088,0.8541210500536537,0.5079978148367759,0.7525293906264976,0.8699795409589741,0.7591123216247377,8.01713298431599
448918,B,B,A,C,B,D,B,E,A,K,0.439542741142871,0.6179673539340594,0.9909754783184704,0.761151768335496,0.4868824568545701,0.8511144017884744,0.512205727198068,0.6556423611229725,0.6089280489164872,0.4649087200984071,0.0990974539530486,0.7294428716185233,0.7036158662260759,0.7970526110160748,9.047167843474345
251326,A,A,B,A,B,A,A,E,E,K,0.3408937454926701,0.5966281795604322,0.6225472084162373,0.4316117588911047,0.2746481992270718,0.5893945345597654,0.6747279162139987,0.8253742166351672,0.4440226105930778,0.2823609553802801,0.4654163543228501,0.2235962442483677,0.9553176076738776,0.4824044234266115,8.115016513528037
92766,A,B,A,C,B,B,A,E,E,J,0.4135279881087561,0.8366617327728628,0.5975201715378703,0.3194905086421373,0.2865740551178909,0.4344469614701184,0.3146898212925107,0.5142154717703011,0.4546872268963476,0.21515028384614,0.2388341262878671,0.3998537368636047,0.3115761536819052,0.2881317950633661,8.442598142502481
442237,A,A,A,C,B,D,A,E,E,L,1.0547464023599686,0.6279774605138855,0.6899069880840732,0.2168303938727008,0.287144385167346,0.6812916852071617,0.3609814123154184,0.330198036170599,0.4358544530207686,0.3630005935478961,0.9060217753244384,0.6204899634432633,0.5642089565382602,0.338427676865893,8.09469642005491
467376,B,A,A,C,B,D,A,B,A,I,0.9035493195562612,0.5627092969091035,-0.0486828486085309,0.239252269280666,0.2875512960386804,0.7832301042212044,0.4197600543174005,0.3793633721568295,0.8874621409852164,0.8452475045731374,0.4179914404788893,0.4957626382003067,0.7524554034675192,0.8526131497617739,7.909105059188177
347754,A,B,B,C,B,B,A,E,E,L,0.4221144125920849,0.2914978467419097,1.0239803814347714,0.232935785968372,0.7653260521140566,0.3750636287296776,0.5344516310816306,0.4404003364015908,0.5614654466260071,0.120933753106983,0.0987442347406786,0.3344193833510181,0.2746149776078332,0.7923040300054109,8.772970900857585
438396,B,B,B,C,B,B,A,E,C,K,0.4841602157457789,0.4169315312424323,0.5075594671624793,0.2803562080772071,0.3305397533124797,0.3845102425680749,0.3067479369542569,0.4767854363506242,0.2871332831463666,0.4163291678507222,0.1726201058807699,0.4001125078884491,0.2313540218381329,0.4435313557313396,7.38420062207563
53745,A,B,B,C,B,B,B,E,C,M,0.4426084505689996,0.0865074760902211,0.2810005270771396,0.2868115578903033,0.3114494940852657,0.1083942195734907,0.1465332108588845,0.3794612752329076,0.4962752168922987,0.2539799742888271,0.1823303167288859,0.7104781984331168,0.3927517407624505,0.6160453336171048,8.154909706817874
246498,A,B,A,A,B,B,A,E,E,K,0.4931886801731513,0.3651653240206249,0.5991871820391658,0.604040414732162,0.2866479276175319,0.3925072319575867,-0.2202461122226096,0.29708529897053,0.3211179350635629,0.2749013598230631,0.6877306262969345,0.1189356909567037,0.3037264373551688,0.814028661951828,9.090104980086744
202472,A,A,A,C,B,B,A,E,E,G,0.5342101654567057,0.7266628958628951,0.566467224548536,0.3780218981580969,0.3315361119735362,0.3614867465180062,0.4143093352931845,0.2872864648847554,0.2849702286979003,0.361226037074572,0.257013126914339,0.4352987664208528,0.3234041487166271,0.2869106661942682,8.20786179530362
342584,A,A,A,C,B,B,A,E,E,B,0.425461992212106,0.7707596376160857,0.4096467489448683,0.2861360090496009,0.7499458325206685,0.3640858649105026,0.2706764518513898,0.304419938815515,0.1610718436812245,0.4125187004491866,0.8092561230725331,0.2685460858000125,0.6083670677830915,0.2131112676800391,7.0542944285381735
416028,A,B,A,C,B,D,A,E,G,F,0.427495840181239,0.3077235794640924,0.3809627581909795,0.4584163950418587,1.0299136511062796,0.6916496533634154,0.3823660928467432,0.3568309261424301,0.5969749448741272,0.6028223059689577,0.3474887872120076,0.2953631883653003,0.8479584307860688,0.6494656333959615,8.73791715395959
38680,B,A,A,C,B,D,A,E,A,O,0.2891160574845837,0.6284902262008019,0.5559597565124637,0.5349043758097255,0.6387384492513651,0.6536620192426806,0.4868906620915629,1.028557768909345,0.5988096208550403,0.504784089966683,0.6781617502577415,0.3035547704279743,0.9389331400695872,0.4353019053572409,8.379856226224199
190321,A,A,A,C,B,B,A,E,C,G,0.3991992970734505,0.3359503434376397,0.4402650962909005,0.873671881671952,0.98479950947767,0.5010534910552379,0.3245049699112908,0.3595699810812973,0.2970013535157552,0.4892651060049635,0.0804166163653747,0.7464409294673073,0.3811238454090011,0.2012331323415198,7.276363435285319
395732,A,B,A,C,B,D,A,E,A,I,0.4234116662738087,0.2902365082526121,0.3340239821705134,0.7815828773993091,0.2749603415537322,0.7824940834209027,0.5644765662970447,0.2518737245885534,0.3854937883800425,0.594541215882025,0.2889429318661193,0.5018156847425177,0.8631087643826525,0.1687763055815612,8.398039342609321
174248,B,B,A,C,B,B,A,E,C,K,0.5385140439538144,0.3101665965284645,1.0283180256888476,0.1596610949139516,0.4556026196583145,0.3644389161270213,0.2305058689490786,0.3570386548262262,0.3759007530504542,0.334824453761752,0.078401832077614,0.2688783698751829,0.1744700414086169,0.8068877364577377,9.011354304453716
102228,A,B,A,C,B,B,A,E,A,I,0.200508874751862,0.6100881445141634,0.5271166911545022,0.1735909549864868,0.5317387861456402,0.4136148022231776,0.9410562062357032,0.2938449756749104,0.3632644289379041,0.3938421416946826,0.3773695109752016,0.7594417147055476,0.5412844135864449,0.2851556277638302,8.209535372383973
76351,A,A,A,C,B,D,A,B,C,H,0.7623779255211869,0.3671656097065449,0.7052834075630066,0.4483473824155344,0.2749315528426173,0.6663584029854113,0.403042580993205,0.3697672903175246,0.4247682621657603,0.4180057958216822,0.845508071618854,0.5665450504755328,0.3705021257132325,0.6751804905324829,9.456216153650796
